timestep_ns,src,dst,baseline_path,da_beta0_path,equal
90000000000,410,425,410->241->240->239->238->237->250->263->276->289->302->315->328->341->3->16->29->28->27->425,410->241->240->239->238->237->250->263->276->289->302->315->328->341->3->16->29->28->27->425,True
90000000000,386,424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,True
90000000000,424,386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,True
90000000000,355,401,355->169->181->180->167->154->141->128->115->102->89->76->63->50->37->24->401,355->169->181->180->167->154->141->128->115->102->89->76->63->50->37->24->401,True
90000000000,401,355,401->24->37->50->63->76->89->102->115->128->141->154->167->180->181->169->355,401->24->37->50->63->76->89->102->115->128->141->154->167->180->181->169->355,True
90000000000,412,406,412->169->170->183->196->209->406,412->169->170->183->196->209->406,True
90000000000,406,412,406->209->196->183->170->169->412,406->209->196->183->170->169->412,True
90000000000,432,446,432->31->44->446,432->31->44->446,True
90000000000,446,432,446->44->31->432,446->44->31->432,True
90000000000,394,361,394->31->18->361,394->31->18->361,True
90000000000,361,394,361->18->31->394,361->18->31->394,True
90000000000,441,436,441->241->240->239->252->265->278->291->304->317->330->343->5->18->31->436,441->241->240->239->252->265->278->291->304->317->330->343->5->18->31->436,True
90000000000,436,441,436->31->18->5->343->330->317->304->291->278->265->252->239->240->241->441,436->31->18->5->343->330->317->304->291->278->265->252->239->240->241->441,True
90000000000,366,367,366->209->196->183->170->157->144->131->118->105->104->367,366->209->196->183->170->157->144->131->118->105->104->367,True
90000000000,367,366,367->104->105->118->131->144->157->170->183->196->209->366,367->104->105->118->131->144->157->170->183->196->209->366,True
90000000000,364,440,364->18->31->44->57->70->71->72->440,364->18->31->44->57->70->71->72->440,True
90000000000,440,364,440->72->71->70->57->44->31->18->364,440->72->71->70->57->44->31->18->364,True
100000000000,399,447,399->32->31->30->29->42->55->68->81->94->107->120->133->132->131->130->447,399->32->31->30->29->42->55->68->81->94->107->120->133->132->131->130->447,True
100000000000,447,399,447->130->131->132->133->120->107->94->81->68->55->42->29->30->31->32->399,447->130->131->132->133->120->107->94->81->68->55->42->29->30->31->32->399,True
100000000000,425,410,425->27->28->29->16->3->341->328->315->302->289->276->263->250->237->238->239->240->241->410,425->27->28->29->16->3->341->328->315->302->289->276->263->250->237->238->239->240->241->410,True
100000000000,410,425,410->241->240->239->238->237->250->263->276->289->302->315->328->341->3->16->29->28->27->425,410->241->240->239->238->237->250->263->276->289->302->315->328->341->3->16->29->28->27->425,True
100000000000,386,424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,True
100000000000,424,386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,True
100000000000,355,401,355->169->181->180->167->154->141->128->115->102->89->76->63->50->37->24->401,355->169->181->180->167->154->141->128->115->102->89->76->63->50->37->24->401,True
100000000000,401,355,401->24->37->50->63->76->89->102->115->128->141->154->167->180->181->169->355,401->24->37->50->63->76->89->102->115->128->141->154->167->180->181->169->355,True
100000000000,412,406,412->169->170->183->196->209->406,412->169->170->183->196->209->406,True
100000000000,406,412,406->209->196->183->170->169->412,406->209->196->183->170->169->412,True
100000000000,432,446,432->31->44->446,432->31->44->446,True
100000000000,446,432,446->44->31->432,446->44->31->432,True
100000000000,394,361,394->31->18->361,394->31->18->361,True
100000000000,361,394,361->18->31->394,361->18->31->394,True
100000000000,441,436,441->241->240->239->252->265->278->291->304->317->330->343->5->18->31->436,441->241->240->239->252->265->278->291->304->317->330->343->5->18->31->436,True
100000000000,436,441,436->31->18->5->343->330->317->304->291->278->265->252->239->240->241->441,436->31->18->5->343->330->317->304->291->278->265->252->239->240->241->441,True
100000000000,366,367,366->209->196->183->170->157->144->131->118->105->104->367,366->209->196->183->170->157->144->131->118->105->104->367,True
100000000000,367,366,367->104->105->118->131->144->157->170->183->196->209->366,367->104->105->118->131->144->157->170->183->196->209->366,True
100000000000,364,440,364->18->31->44->57->70->71->72->440,364->18->31->44->57->70->71->72->440,True
100000000000,440,364,440->72->71->70->57->44->31->18->364,440->72->71->70->57->44->31->18->364,True
110000000000,399,447,399->32->31->30->29->42->55->68->81->94->107->120->133->132->131->130->447,399->32->31->30->29->42->55->68->81->94->107->120->133->132->131->130->447,True
110000000000,447,399,447->130->131->132->133->120->107->94->81->68->55->42->29->30->31->32->399,447->130->131->132->133->120->107->94->81->68->55->42->29->30->31->32->399,True
110000000000,425,410,425->27->28->29->16->3->341->328->315->302->289->276->263->250->237->238->239->240->241->410,425->27->28->29->16->3->341->328->315->302->289->276->263->250->237->238->239->240->241->410,True
110000000000,410,425,410->241->240->239->238->237->250->263->276->289->302->315->328->341->3->16->29->28->27->425,410->241->240->239->238->237->250->263->276->289->302->315->328->341->3->16->29->28->27->425,True
110000000000,386,424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,True
110000000000,424,386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,True
110000000000,355,401,355->169->181->180->167->154->141->128->115->102->89->76->63->50->37->24->401,355->169->181->180->167->154->141->128->115->102->89->76->63->50->37->24->401,True
110000000000,401,355,401->24->37->50->63->76->89->102->115->128->141->154->167->180->181->169->355,401->24->37->50->63->76->89->102->115->128->141->154->167->180->181->169->355,True
110000000000,412,406,412->169->170->183->196->209->406,412->169->170->183->196->209->406,True
110000000000,406,412,406->209->196->183->170->169->412,406->209->196->183->170->169->412,True
110000000000,432,446,432->31->44->446,432->31->44->446,True
110000000000,446,432,446->44->31->432,446->44->31->432,True
110000000000,394,361,394->31->18->361,394->31->18->361,True
110000000000,361,394,361->18->31->394,361->18->31->394,True
110000000000,441,436,441->241->240->239->252->265->278->291->304->317->330->343->5->18->31->436,441->241->240->239->252->265->278->291->304->317->330->343->5->18->31->436,True
110000000000,436,441,436->31->18->5->343->330->317->304->291->278->265->252->239->240->241->441,436->31->18->5->343->330->317->304->291->278->265->252->239->240->241->441,True
110000000000,366,367,366->209->196->183->170->157->144->131->118->105->104->367,366->209->196->183->170->157->144->131->118->105->104->367,True
110000000000,367,366,367->104->105->118->131->144->157->170->183->196->209->366,367->104->105->118->131->144->157->170->183->196->209->366,True
110000000000,364,440,364->18->31->44->57->70->71->72->440,364->18->31->44->57->70->71->72->440,True
110000000000,440,364,440->72->71->70->57->44->31->18->364,440->72->71->70->57->44->31->18->364,True
